label,rmsExpo_r_expo0,rmsExpo_r_expo1,rmsExpo_r_expo2,rmsExpo_r_expo3,rmsExpo_r_expo4,InputSeeing_r_expo0,InputSeeing_r_expo1,InputSeeing_r_expo2,InputSeeing_r_expo3,InputSeeing_r_expo4,InputBeta_r_expo0,InputBeta_r_expo1,InputBeta_r_expo2,InputBeta_r_expo3,InputBeta_r_expo4,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4,seeing_e2_r_expo0,seeing_e2_r_expo1,seeing_e2_r_expo2,seeing_e2_r_expo3,seeing_e2_r_expo4
184.0_-1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.41,0.59,0.6,0.55,0.51,2.41,2.85,3.21,2.6,3.13,0.03,-0.13,-0.11,-0.04,-0.07,0.05,-0.01,-0.09,-0.04,-0.07
135.0_-1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.56,0.62,0.57,0.68,0.6,2.16,2.26,2.32,2.01,2.27,0.02,0.03,0.03,0.03,0.02,-0.06,-0.05,-0.05,-0.06,-0.01
218.6_2.5_1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.64,0.63,0.58,0.66,0.66,3.14,2.84,2.76,2.62,2.87,0.08,0.05,0.05,0.07,0.05,-0.05,-0.03,-0.05,-0.04,-0.05
44.4_-34.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.73,0.69,0.75,0.89,0.95,2.11,2.09,2.01,2.04,2.12,0.02,-0.0,0.02,-0.0,-0.01,-0.05,0.02,0.01,0.02,0.02
131.0_0.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,1.0,0.98,0.87,0.79,0.65,2.6,2.61,2.61,2.36,2.24,-0.02,-0.01,-0.02,-0.03,-0.0,0.07,0.02,-0.01,0.0,-0.02
350.6_-32.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.5,0.57,0.56,0.52,0.55,2.27,2.16,2.59,2.38,2.31,0.01,-0.05,-0.05,-0.05,0.02,-0.01,0.03,-0.02,0.01,0.0
343.4_-33.1,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.54,0.51,0.53,0.58,0.73,2.58,2.57,2.52,2.46,2.21,0.05,0.02,0.0,0.01,0.01,-0.07,-0.06,0.02,-0.0,0.02
184.0_1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.58,0.59,0.61,0.54,0.57,2.37,2.48,2.42,2.63,2.54,-0.01,-0.03,-0.01,-0.01,0.01,-0.03,-0.04,-0.04,-0.04,-0.02
218.6_2.5_2,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.61,0.64,0.59,0.67,0.65,2.61,2.68,2.57,2.53,2.62,-0.0,-0.0,0.02,0.0,-0.01,-0.01,-0.0,-0.03,-0.02,-0.02
212.0_1.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.66,0.64,0.71,0.69,0.66,2.46,2.48,2.52,2.36,2.86,-0.04,-0.01,-0.05,-0.03,-0.06,0.02,-0.02,-0.04,-0.06,-0.07
349.5_-31.2,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.69,0.58,0.58,0.62,0.7,1.81,1.95,1.94,2.0,2.09,-0.03,-0.05,-0.03,0.01,-0.03,0.0,0.03,0.01,0.01,0.02
40.8_-31.2,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.76,0.74,0.73,0.83,0.84,1.9,1.85,1.86,2.01,2.13,-0.02,-0.02,-0.01,-0.04,-0.05,-0.03,-0.02,0.02,-0.0,0.01
139.0_0.5,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,5.846717997655555,0.82,0.8,0.74,0.79,0.79,2.31,2.38,2.31,2.38,2.57,-0.02,-0.01,-0.01,0.04,-0.02,-0.0,-0.01,0.01,-0.01,-0.02
